Id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
1422,Goli Vada Pav No 1,Yes,No,3.2,44,JP Nagar,Quick Bites,NA,Street Food,200,Delivery
1423,Nandhana Palace,No,Yes,4.1,1000,Bannerghatta Road,"Casual Dining, Bar","Chicken Guntur, Hyderabadi Chicken Biryani, Andhra Meal, Mutton Biryani, Vegetable Biryani, Andhra Style Chilli Chicken, Mojito","Andhra, Biryani, North Indian, Chinese",800,Delivery
1424,Happy Eats,Yes,No,0,0,JP Nagar,Delivery,NA,"North Indian, Continental",300,Delivery
1425,Biryani Nights,Yes,No,3.6,19,Bannerghatta Road,Quick Bites,NA,"South Indian, North Indian, Chinese",400,Delivery
1426,Thejas Bhavan,Yes,No,3.5,27,Bannerghatta Road,Quick Bites,NA,"North Indian, South Indian, Chinese",400,Delivery
1427,Kababish Restaurant,Yes,No,3.6,15,BTM,NA,NA,"North Indian, Chinese, Arabian",700,Delivery
1428,Graffitea,Yes,No,3.7,16,BTM,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",200,Delivery
1429,Gappe,Yes,No,3.8,32,Bannerghatta Road,Kiosk,NA,Street Food,200,Delivery
1430,On The Nose,Yes,No,3.8,613,BTM,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese",600,Delivery
1431,Juicy & Spicy,Yes,No,3.1,4,JP Nagar,"Quick Bites, Beverage Shop",NA,"Bakery, Fast Food",150,Delivery
1432,Eat Repeat Express,Yes,No,3.2,20,JP Nagar,Casual Dining,NA,"North Indian, South Indian, Chinese, Biryani, Mexican",700,Delivery
1433,TFI  The Fresh Ice Cream,Yes,No,3.2,41,Bannerghatta Road,Dessert Parlor,NA,"Ice Cream, Beverages",400,Delivery
1434,Mirch Masala,Yes,No,3.4,6,JP Nagar,Quick Bites,NA,North Indian,500,Delivery
1435,Just Chill,Yes,No,3.4,54,BTM,Beverage Shop,NA,Beverages,250,Delivery
1437,BEIR,No,No,0,0,Bannerghatta Road,Casual Dining,NA,"Mexican, American",800,Delivery
1438,Bengalooru Tiffanys,Yes,No,3,38,JP Nagar,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",400,Delivery
1439,Udupi Thaja Thindi,Yes,No,2.9,42,BTM,Quick Bites,"Masala Dosa, Vada, Filter Coffee","North Indian, South Indian, Chinese, Fast Food",250,Delivery
